latitude,longitude,building_density,road_density_km,industrial_presence,green_space_fraction
-13.9833,33.7833,15974,235.5930013989828,0,1
-13.98,33.78,13687,235.4318159148582,0,1
-13.8333,-171.7333,1317,59.14800970379981,2,146
-13.83,-171.73,680,32.75290790815955,2,25
-12.35,43.85,109,6.446572796681981,0,0
-12.05,-77.05,9913,687.2088029262811,28,0
-11.7042,43.2403,8790,73.21920862438031,3,61
-11.7,43.24,7815,57.931805391612585,3,61
-11.1833,-67.0833,22,28.455092198180036,0,0
-11.18,-67.08,22,28.455092198180036,0,0
-9.4647,147.1925,2811,239.37374435387255,6,692
-9.46,147.19,2868,243.40517829504054,5,881
-9.4333,159.95,6206,107.44360338060153,4,2
-9.43,159.95,5844,102.37298072455056,4,2
-8.84,13.23,876,394.339428602707,2,136
-8.8383,13.2344,1085,400.24692150851376,2,85
-8.56,125.57,20977,179.03828512239562,2,988
-8.5586,125.5736,20470,171.0707917099649,0,809
-8.52,179.22,53,1.6336018761908537,0,0
-8.5167,179.2167,616,11.04368559669878,1,21
-8.1826,114.3188,63,95.67512734534439,0,0
-8.18,114.32,64,95.28284113189562,0,0
-7.25,112.75,61860,480.49291764462504,2,156
-6.2146,106.8451,46381,536.3951316282494,2,61
-6.21,106.85,55081,521.9949460021966,3,45
-6.1833,35.75,12300,299.33165808086596,0,5366
-6.18,35.75,13549,306.38586218336513,0,6070
-4.62,55.45,6939,141.88091321925668,2,7
-4.6167,55.45,6722,140.27648897852495,2,7
-4.3,15.3,3627,195.57186445115397,0,61
-4.26,15.28,41318,394.6654262149343,8,4626
-4.2592,15.2847,41342,366.5430888118666,8,4583
-4.05,39.67,4792,252.20505006226736,16,62
-3.38,29.36,7720,240.60631733389198,5,12
-3.3761,29.36,7823,252.67019527570432,5,13
-2.0833,-58.1667,0,0.0,0,0
-2.08,-58.17,0,0.0,0,0
-1.9536,30.0606,30473,291.7441384404068,1,2145
-1.95,30.06,24144,280.36804088054447,1,1856
-1.2833,36.8167,9373,450.71467516335804,4,292
-1.28,36.82,10076,430.3803540660592,4,230
-0.8833,169.5333,94,13.987845249064273,1,0
-0.88,169.53,168,15.672539642976352,1,0
